total_changes,churn_ratio,avg_changes_per_file,additions,deletions,changed_files,commits_per_file,review_intensity,commits,has_reviewer,solo_pr,many_reviewers,num_reviewers,review_hours,fast_merge,day_of_week,is_weekend,keyword_count,diff_lines,has_test_file,has_config_file,num_python_files,num_js_files,title_length,comments,review_comments
5.0,0.0,2.5,5.0,0.0,1.0,0.5,0.0,1,1,0,0,2,1.0825,1,1,0,2,12,0,0,0,1,40,0,0
67.0,0.030303030303030304,22.333333333333332,65.0,2.0,2.0,0.3333333333333333,0.0,1,1,0,0,2,0.5625,1,1,0,1,56,1,0,0,2,64,0,0
23.0,0.043478260869565216,7.666666666666667,22.0,1.0,2.0,0.3333333333333333,0.0,1,1,0,0,2,0.6905555555555556,1,1,0,2,34,1,0,0,2,36,0,0
4.0,0.6666666666666666,2.0,2.0,2.0,1.0,0.5,0.5,1,1,0,0,2,0.8361111111111111,1,1,0,1,13,1,0,0,0,33,0,1
13.0,1.3333333333333333,4.333333333333333,5.0,8.0,2.0,0.3333333333333333,0.0,1,1,0,0,1,0.5430555555555555,1,1,0,1,33,0,1,0,0,45,1,0
20.0,0.3125,10.0,15.0,5.0,1.0,0.5,1.0,1,1,0,0,2,0.5422222222222223,1,4,0,2,33,0,0,0,1,86,1,2
353.0,0.6619718309859155,39.22222222222222,212.0,141.0,8.0,0.2222222222222222,1.0,2,1,0,0,2,2.718611111111111,0,4,0,0,71,0,0,0,7,62,1,3
4.0,0.25,2.0,3.0,1.0,1.0,1.0,0.3333333333333333,2,1,0,0,2,1.7044444444444444,1,4,0,2,10,0,0,0,0,61,0,1
602.0,0.5227272727272727,43.0,395.0,207.0,13.0,0.14285714285714285,0.6666666666666666,2,1,0,0,2,1.4708333333333334,1,4,0,0,61,1,0,0,13,44,0,2
14.0,0.6666666666666666,4.666666666666667,8.0,6.0,2.0,0.3333333333333333,1.5,1,1,0,1,4,0.5144444444444445,1,4,0,3,29,1,0,0,2,66,0,3
